 nT
YEAR DOY HR  1    2     3     4     5        6     7     8     9  10   11   12 
2024   3 17 51   6.4   4.2   0.2   0.4  257585.   9.3  462.  3.89 27    -3  153
2024   3 18 51   7.0   4.7  -3.7  -0.6  207690.   8.6  454.  3.46 33    -6  286
2024   3 19 51   7.5   0.1  -4.1  -5.7  183077.   7.6  479.  3.25 33    -6  499
2024   3 20 51   8.7  -0.6  -6.8  -5.1  130938.   6.9  483.  3.00 33   -15  569
2024   3 21 51   8.6   1.4  -7.2  -2.5  117397.   6.5  464.  2.58 30   -19  608
2024   3 22 51   8.3   3.5  -6.3   3.3  112010.   5.8  456.  2.22 30   -22  196
2024   3 23 51   8.8   4.3  -5.9   4.5   86661.   4.8  453.  1.84 30   -19   48
2024   4  0 51   8.6   4.6  -5.7   4.0   73595.   3.4  448.  1.27 13   -18   31
2024   4  1 51   7.7   2.7  -6.9   1.4   98081.   3.4  458.  1.34 13   -15   64
2024   4  2 51   7.3   2.7  -6.4   1.8  105834.   3.3  453.  1.27 13   -14   62
2024   4  3 51   7.0   2.4  -6.3   0.8   95202.   3.4  451.  1.31  7   -11   48
2024   4  4 51   6.7   2.1  -5.5   3.0   72987.   3.2  446.  1.22  7   -11   33
2024   4  5 51   6.2   1.6  -5.4   2.0   79797.   3.6  446.  1.39  7   -11   39
2024   4  6 51   5.9   2.2  -4.9   1.8   80501.   3.5  439.  1.32 17    -8   55
2024   4  7 51   5.5   3.5  -3.7   1.2   74399.   4.1  429.  1.49 17    -4   60
2024   4  8 51   5.2   2.0  -4.2   1.5   78020.   4.4  433.  1.64 17    -4   48
2024   4  9 51   5.0   2.6  -3.9   0.2   70830.   4.5  428.  1.60  7    -2   46
2024   4 10 51   4.7   3.5  -2.0   1.8   63676.   4.6  424.  1.61  7     2   79
2024   4 11 51   4.3   3.9  -1.0   0.9   62588.   4.7  421.  1.62  7     1   37
2024   4 12 51   4.1   3.6  -0.2   1.0   61292.   4.5  420.  1.53  7    -2   30
2024   4 13 51   3.9   3.6   0.2   1.2   60723.   4.2  417.  1.41  7    -4   42
2024   4 14 51   3.5  -1.3  -2.4  -1.2   51195.   3.4  440.  1.30  7    -9   54
2024   4 15 51   3.7  -0.6  -3.0  -1.5   41619.   3.6  430.  1.32 13   -15  140
2024   4 16 51   3.6  -0.3  -2.7  -0.6   43768.   3.5  428.  1.27 13   -14  258
2024   4 17 51   3.5   0.7  -2.0  -1.6   45422.   3.4  418.  1.19 13   -13  119
2024   4 18 51   3.6   1.8  -0.5  -2.8   46651.   3.2  412.  1.07 10   -15  160
2024   4 19 51   3.7   2.6   0.9  -2.4   41667.   3.0  403.  0.96 10   -17  149
2024   4 20 51   3.6   1.4   0.5  -2.9   41307.   3.1  410.  1.03 10   -16  160
2024   4 21 51   3.4   2.8   0.7  -1.7   42419.   3.1  400.  0.99 27   -15  282
2024   4 22 51   3.5   1.9   0.8  -2.2   42219.   3.3  407.  1.09 27   -15  202
2024   4 23 51   3.5   1.1  -0.5  -2.0   42402.   3.1  408.  1.04 27   -12  240
2024   5  0 51   3.5   1.1   0.9  -1.9   45858.   3.2  413.  1.10 20   -10  143
2024   5  1 51   3.7   0.4   1.6  -2.8   42906.   3.2  418.  1.12 20   -12  191
2024   5  2 51   3.7   0.7   0.4  -3.0   46087.   3.2  411.  1.09 20   -15  181
2024   5  3 51   3.8   2.9   1.2  -1.5   45060.   2.9  395.  0.93 17   -17  142
2024   5  4 51   3.7   3.4   0.5  -0.7   41476.   2.4  382.  0.72 17   -18   80
2024   5  5 51   3.7   3.4   0.4   0.2   38386.   2.4  383.  0.72 17   -18   60
2024   5  6 51   3.7   3.4   0.6  -0.4   46359.   2.6  388.  0.81  3   -20   60
2024   5  7 51   3.8   3.6   0.0   0.3   45154.   2.6  386.  0.78  3   -20   57
2024   5  8 51   3.6   3.2   1.1   0.3   54319.   3.2  391.  1.00  3   -16   63
2024   5  9 51   3.6   2.1  -0.0  -0.8   59498.   3.3  399.  1.06 10   -11   84
2024   5 10 51   3.3   2.0   0.6   0.7   64493.   3.4  396.  1.07 10    -5  141
2024   5 11 51   2.8   2.2  -0.5  -0.3   71864.   3.3  391.  1.02 10    -4  138
2024   5 12 51   2.5   1.3   0.6  -0.6   76839.   3.3  399.  1.04 13    -5  160
2024   5 13 51   3.2   1.3   0.8  -2.4   71378.   3.1  398.  0.97 13    -7  128
2024   5 14 51   3.0   0.3  -0.2  -2.4   75400.   3.2  403.  1.02 13    -8  149
2024   5 15 51   3.3  -1.9   0.5  -2.4   67642.   3.4  413.  1.13 17   -11  391
2024   5 16 51   3.1  -1.6  -0.7  -2.0   68713.   3.1  405.  0.99 17   -14  231
2024   5 17 51   2.9   2.0  -0.1  -0.9   76960.   3.0  393.  0.92 17   -16   90
2024   5 18 51   2.9   0.8  -0.6   0.4   74065.   2.9  397.  0.89  3   -12   90
2024   5 19 51   3.1   1.1  -0.1   0.4   65414.   3.0  391.  0.87  3    -9   59
2024   5 20 51   3.4   2.5   1.6   1.3   69150.   2.8  380.  0.79  3    -9   47
2024   5 21 51   3.4   2.0   0.9   1.4   76780.   2.7  381.  0.77  3    -7   51
2024   5 22 51   3.3   1.6   2.2  -1.0   80159.   2.7  381.  0.77  3   -10   69
2024   5 23 51   3.2   2.3   1.7  -0.0   74232.   2.7  369.  0.73  3   -10   65
2024   6  0 51   3.3   2.4   0.5  -2.0   69096.   2.6  366.  0.69  3    -8   71
2024   6  1 51   3.0   2.2   0.6  -1.8   62348.   2.5  370.  0.66  3   -10   52
2024   6  2 51   3.0   0.8  -1.3  -2.1   66109.   2.7  377.  0.73  3   -12   68
2024   6  3 51   2.7   0.9  -0.9  -1.6   59144.   2.6  376.  0.70 10   -11   57
2024   6  4 51   2.6   1.2  -1.5  -0.7   54413.   2.7  368.  0.69 10    -8   60
2024   6  5 51   3.0   1.0  -2.3   0.1   47014.   2.6  363.  0.65 10    -9   28
2024   6  6 51   3.1  -0.6  -2.7   0.5   31488.   2.6  372.  0.68  0    -7   21
2024   6  7 51   3.0   0.4  -2.9   0.2   36782.   2.6  359.  0.64  0    -5   19
2024   6  8 51   2.9   1.7  -1.8   0.5   34047.   2.4  349.  0.55  0    -3   19
2024   6  9 51   2.9   2.0  -2.0   0.2   24957.   2.1  341.  0.46  0    -1   13
2024   6 10 51   2.9   2.0  -1.7  -0.7   28375.   2.5  341.  0.55  0     1   34
2024   6 11 51   2.9   2.5  -0.9  -0.6   27113.   2.4  334.  0.51  0     2   32
2024   6 12 51   2.9   2.6  -0.1  -0.7   32045.   2.8  334.  0.59  0     0   25
2024   6 13 51   2.9   2.6  -0.6   0.4   24736.   2.7  331.  0.56  0    -1   31
2024   6 14 51   2.9   2.9  -0.1  -0.1   25055.   2.3  326.  0.48  0    -3   25
2024   6 15 51   2.9   2.9  -0.3   0.1   24164.   2.4  325.  0.49  0    -4   33
2024   6 16 51   2.9   2.9  -0.1   0.3   21956.   2.7  326.  0.54  0    -4   27
2024   6 17 51   2.6   2.6  -0.3   0.1   27070.   2.9  329.  0.59  0    -6   26
2024   6 18 51   2.4   2.1  -0.7   0.2   33911.   2.9  329.  0.60  7    -6   21
2024   6 19 51   2.6   1.3  -1.3  -1.4   31150.   3.0  330.  0.62  7    -6   27
2024   6 20 51   2.6  -0.4  -0.6  -2.4   16130.   3.6  337.  0.78  7    -5   77
2024   6 21 51   2.9  -0.7  -1.6  -2.2   21854.   3.5  340.  0.79 10    -7  144
2024   6 22 51   2.8  -1.0  -2.0  -1.4   21623.   3.5  336.  0.78 10    -8   74
2024   6 23 51   2.8   0.3  -2.0  -1.7   26847.   3.4  331.  0.74 10    -8   40
2024   7  0 51   2.8  -0.4  -2.0  -1.2   25394.   3.5  331.  0.76  0    -5   24
2024   7  1 51   2.7   0.1  -2.4  -0.7   25376.   3.4  328.  0.72  0    -4   18
2024   7  2 51   2.7   1.1  -2.0  -0.6   25658.   3.3  323.  0.66  0    -5   17
2024   7  3 51   3.0   1.6  -2.4   0.3   20231.   3.0  320.  0.57  0    -5   13
2024   7  4 51   3.0   2.0  -2.0   0.7   17041.   2.8  316.  0.52  0    -5   11
2024   7  5 51   3.1   2.1  -2.2   0.6   17778.   3.0  315.  0.54  0    -5   10
2024   7  6 51   2.9   1.7  -2.2   0.4   17248.   3.5  316.  0.64  0    -4   15
2024   7  7 51   2.3   1.8  -1.3  -0.1   21411.   4.3  312.  0.77  0    -2   14
2024   7  8 51   2.1   0.6  -1.0  -1.2   18778.   5.2  315.  0.93  0     3   20
2024   7  9 51   2.4   0.9  -0.7  -1.3   18048.   5.0  312.  0.88  3     5   25
2024   7 10 51   2.3   1.6  -0.5  -1.2   21216.   4.7  309.  0.81  3     6   33
2024   7 11 51   2.7   0.9  -1.5  -1.2   17928.   5.0  310.  0.88  3     6   52
2024   7 12 51   2.5  -1.1  -1.4  -1.7   15448.   5.9  317.  1.10  3     6   56
2024   7 13 51   2.5  -1.0  -1.3  -1.9   13616.   6.2  314.  1.14  3     1  120
2024   7 14 51   2.7  -1.0  -1.5  -2.0   14178.   5.9  311.  1.06  3    -4  106
2024   7 15 51   2.6   1.1  -1.5  -1.0   20103.   5.9  303.  0.99  3    -3   86
2024   7 16 51   2.7   2.4  -1.0   0.8   19154.   5.4  298.  0.88  3     2   81
2024   7 17 51   2.5   1.7  -1.3   0.2   18505.   6.3  298.  1.04  3     4   54
2024   7 18 51   2.4   1.4  -1.2   0.1   19334.   6.6  300.  1.11  0     2   39
2024   7 19 51   1.0  -0.4   0.2  -0.1   13010.   8.3  306.  1.49  0     2   26
2024   7 20 51   1.1  -0.6   0.8  -0.5   12927.   8.7  308.  1.59  0     3   15
2024   7 21 51   1.1  -0.2   0.6   0.2   14772.   8.4  310.  1.50  0     4   12
2024   7 22 51   1.5  -1.1  -0.3  -0.1   18613.   8.0  305.  1.37  0     6   15
2024   7 23 51   2.3  -2.1   0.7  -0.2   22175.   7.3  307.  1.27  0     5   16
2024   8  0 51   2.8  -2.3   1.2  -0.7   25071.   5.9  309.  1.04  0     5   15
2024   8  1 51   2.7  -2.0   1.4  -1.0   22603.   6.4  310.  1.13  0     8   13
2024   8  2 51   2.6  -1.7   1.6  -0.2   26570.   7.0  312.  1.25  0     9   13
2024   8  3 51   2.5  -2.1   0.9  -0.5   28507.   7.4  310.  1.31  0     8   15
2024   8  4 51   2.7  -2.6   0.2   0.5   28066.   8.4  308.  1.47  0     7   15
2024   8  5 51   2.4  -1.9   0.2   0.7   27035.   8.3  309.  1.44  0     7   15
2024   8  6 51   2.5  -2.0   1.4   0.5   25272.   8.1  311.  1.44  0     7   14
2024   8  7 51   3.4  -2.6   2.1   0.2   18503.   8.0  315.  1.48  0     7   12
2024   8  8 51   3.4  -2.7   2.0  -0.1   22248.   8.7  311.  1.58  0     7    9
2024   8  9 51   3.7  -2.7   1.8  -0.8   23520.   8.6  320.  1.64  3     8   20
2024   8 10 51   4.5  -3.5   2.0  -1.6   31299.   7.5  321.  1.47  3     7   57
2024   8 11 51   5.1  -2.5   1.8  -3.9   35737.   7.9  327.  1.61  3     8   67
2024   8 12 51   5.4  -2.4   3.4  -3.3   33467.   8.2  326.  1.65 10     8  120
2024   8 13 51   5.4  -3.1   3.7  -2.0   32977.   8.6  324.  1.69 10     8  178
2024   8 14 51   5.1  -3.4   3.7  -0.2   29027.   9.3  321.  1.79 10    11  190
2024   8 15 51   4.9  -3.2   3.5   0.4   31637.  10.3  320.  1.97  7    11   73
2024   8 16 51   4.7  -0.6   4.0   1.6   35975.  11.2  321.  2.16  7    13  131
2024   8 17 51   5.0  -3.2   1.8   2.6   35889.  11.3  320.  2.20  7    12   38
2024   8 18 51   5.6  -3.6   2.7   2.7   42547.  10.1  321.  1.95 13    10   26
2024   8 19 51   6.3  -1.9   3.8  -0.6   88722.   7.4  344.  1.76 13     8   25
2024   8 20 51   5.9  -1.5   4.6  -2.5  100408.   7.8  346.  1.91 13     6   85
2024   8 21 51   3.2  -1.3  -0.8  -0.0  112391.   9.0  348.  2.21 20     2  157
2024   8 22 51   5.5  -1.2   4.2  -2.2   91877.   7.5  342.  1.74 20     3   90
2024   8 23 51   7.6  -1.8   6.4  -3.3   54562.   6.4  342.  1.40 20     0   71
2024   9  0 51   6.9  -0.8   5.6  -1.9   68328.   7.3  348.  1.72 23     2  202
2024   9  1 51   6.1  -0.5   4.9  -1.4   90638.   8.8  355.  2.21 23     3   73
2024   9  2 51   6.7  -1.8   2.6   0.8   97930.   7.8  362.  2.09 23     4   73
2024   9  3 51   6.7  -3.1   5.1   2.0  109310.   7.1  358.  1.93 10     6   29
2024   9  4 51   6.8  -4.2   4.3   2.0   96588.   6.7  346.  1.71 10     5   20
2024   9  5 51   6.4  -3.1   5.2  -0.8  104570.   7.2  353.  1.91 10     5   20
2024   9  6 51   6.2  -3.4   4.7  -1.6  101420.   8.0  352.  2.05 23     3   31
2024   9  7 51   5.1   1.9   0.5  -2.3  101113.   9.2  357.  2.30 23     3  116
