time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2026-06-25 03:55:00+00:00,18,2.069268667526103e-08,3.3113433772768985e-08,1.2420746209329536e-08,False,0.05-0.4nm
2026-06-25 03:55:00+00:00,18,1.3885867247154238e-06,1.424843162567413e-06,3.625643074656182e-08,False,0.1-0.8nm
2026-06-25 03:56:00+00:00,18,1.6880251862971818e-08,2.8575138699693525e-08,1.1694887724900127e-08,False,0.05-0.4nm
2026-06-25 03:56:00+00:00,18,1.3460578429658199e-06,1.3829029512635316e-06,3.684514027213481e-08,False,0.1-0.8nm
2026-06-25 03:57:00+00:00,18,1.5164227207264958e-08,2.6793632201815853e-08,1.1629405882729316e-08,False,0.05-0.4nm
2026-06-25 03:57:00+00:00,18,1.3171392083677347e-06,1.3535889138438506e-06,3.644963086912867e-08,False,0.1-0.8nm
2026-06-25 03:58:00+00:00,18,1.4593106278937285e-08,2.6576138623113366e-08,1.1983031455997661e-08,False,0.05-0.4nm
2026-06-25 03:58:00+00:00,18,1.2953209989063907e-06,1.3326778116606874e-06,3.735683407057877e-08,False,0.1-0.8nm
2026-06-25 03:59:00+00:00,18,1.2838158909289632e-06,1.3221824701759033e-06,3.8366572141512734e-08,False,0.1-0.8nm
2026-06-25 03:59:00+00:00,18,1.4464245801093512e-08,2.6478495840365213e-08,1.2014250039271701e-08,False,0.05-0.4nm
2026-06-25 04:00:00+00:00,18,1.4993135621921283e-08,2.675519894523859e-08,1.1762063323317307e-08,False,0.05-0.4nm
2026-06-25 04:00:00+00:00,18,1.2818125014746329e-06,1.3205336699684267e-06,3.872121112635796e-08,False,0.1-0.8nm
2026-06-25 04:01:00+00:00,18,1.4271368975471432e-08,2.5945148252048966e-08,1.1673778388399114e-08,False,0.05-0.4nm
2026-06-25 04:01:00+00:00,18,1.2589605375978863e-06,1.2994256621823297e-06,4.046504642474247e-08,False,0.1-0.8nm
2026-06-25 04:02:00+00:00,18,1.182674136401829e-08,2.271493215744158e-08,1.0888190793423291e-08,False,0.05-0.4nm
2026-06-25 04:02:00+00:00,18,1.2428350828486145e-06,1.2821959671782679e-06,3.9360887882367024e-08,False,0.1-0.8nm
2026-06-25 04:03:00+00:00,18,1.2346586117928382e-06,1.2690593393926974e-06,3.440068852000877e-08,False,0.1-0.8nm
2026-06-25 04:03:00+00:00,18,1.2745925204171726e-08,2.2677216549027435e-08,9.931291344855708e-09,False,0.05-0.4nm
2026-06-25 04:04:00+00:00,18,1.2180393014205038e-06,1.2508260169852292e-06,3.278670490658442e-08,False,0.1-0.8nm
2026-06-25 04:04:00+00:00,18,1.1832018032009728e-08,2.0836020908632236e-08,9.004002876622508e-09,False,0.05-0.4nm
2026-06-25 04:05:00+00:00,18,1.059594900709726e-08,1.855696574182275e-08,7.96101762290391e-09,False,0.05-0.4nm
2026-06-25 04:05:00+00:00,18,1.2011694252578309e-06,1.2349406688372255e-06,3.3771172525121074e-08,False,0.1-0.8nm
2026-06-25 04:06:00+00:00,18,1.0663248950493198e-08,1.8279305180612937e-08,7.616055341941319e-09,False,0.05-0.4nm
2026-06-25 04:06:00+00:00,18,1.1840428442155826e-06,1.2154432624811307e-06,3.1400396949265996e-08,False,0.1-0.8nm
2026-06-25 04:07:00+00:00,18,8.150164099163248e-09,1.5189714375196672e-08,7.039549387855004e-09,False,0.05-0.4nm
2026-06-25 04:07:00+00:00,18,1.1688276799759478e-06,1.1976542282354785e-06,2.882652871960545e-08,False,0.1-0.8nm
2026-06-25 04:08:00+00:00,18,9.69665236993933e-09,1.5981868273229338e-08,6.285216791468429e-09,False,0.05-0.4nm
2026-06-25 04:08:00+00:00,18,1.1627520279944292e-06,1.1895767784153577e-06,2.682467936665489e-08,False,0.1-0.8nm
2026-06-25 04:09:00+00:00,18,1.1624739499893622e-06,1.1868905858136714e-06,2.4416612731670284e-08,False,0.1-0.8nm
2026-06-25 04:09:00+00:00,18,9.929828514998462e-09,1.6242104550201475e-08,6.3122764792922226e-09,False,0.05-0.4nm
2026-06-25 04:10:00+00:00,18,7.91294851865132e-09,1.3331335146915535e-08,5.418386628264216e-09,False,0.05-0.4nm
2026-06-25 04:10:00+00:00,18,1.1603946177274338e-06,1.1811882814072305e-06,2.079356775652741e-08,False,0.1-0.8nm
2026-06-25 04:11:00+00:00,18,8.02813193701013e-09,1.3945624210975893e-08,5.917492273965763e-09,False,0.05-0.4nm
2026-06-25 04:11:00+00:00,18,1.1510704780448577e-06,1.1716734888977953e-06,2.060302684014914e-08,False,0.1-0.8nm
2026-06-25 04:12:00+00:00,18,7.438866855835613e-09,1.3528775433258033e-08,6.0899085774224204e-09,False,0.05-0.4nm
2026-06-25 04:12:00+00:00,18,1.1502563665999332e-06,1.1694869499478955e-06,1.9230656178592653e-08,False,0.1-0.8nm
2026-06-25 04:13:00+00:00,18,8.683251451202523e-09,1.3668682186107617e-08,4.985430290815884e-09,False,0.05-0.4nm
2026-06-25 04:13:00+00:00,18,1.1422265515648178e-06,1.1597511502259295e-06,1.752459333204115e-08,False,0.1-0.8nm
2026-06-25 04:14:00+00:00,18,1.129435531765921e-06,1.146646809502272e-06,1.7211281289064573e-08,False,0.1-0.8nm
2026-06-25 04:14:00+00:00,18,7.666854706656068e-09,1.2518167835651184e-08,4.851313573084326e-09,False,0.05-0.4nm
2026-06-25 04:15:00+00:00,18,7.689048509007534e-09,1.184993259073508e-08,4.160883637638335e-09,False,0.05-0.4nm
2026-06-25 04:15:00+00:00,18,1.1178376553289127e-06,1.1333729617035715e-06,1.553530459830199e-08,False,0.1-0.8nm
2026-06-25 04:16:00+00:00,18,7.623652820143434e-09,1.1866639226809639e-08,4.242985962576995e-09,False,0.05-0.4nm
