time_tag,satellite,flux,energy
2026-06-24 07:35:00+00:00,19,410.6217956542969,134 keV
2026-06-24 07:35:00+00:00,19,0.17530430853366852,1509 keV
2026-06-24 07:35:00+00:00,19,78.54579162597656,186 keV
2026-06-24 07:35:00+00:00,19,9.279742240905762,271 keV
2026-06-24 07:35:00+00:00,19,0.021226145327091217,2894 keV
2026-06-24 07:35:00+00:00,19,1.8818693161010742,378 keV
2026-06-24 07:35:00+00:00,19,0.3528198003768921,548 keV
2026-06-24 07:35:00+00:00,19,2661.7412109375,79 keV
2026-06-24 07:35:00+00:00,19,0.08342952281236649,865 keV
2026-06-24 07:40:00+00:00,19,0.1219373345375061,865 keV
2026-06-24 07:40:00+00:00,19,3067.82861328125,79 keV
2026-06-24 07:40:00+00:00,19,0.49810707569122314,548 keV
2026-06-24 07:40:00+00:00,19,3.337705135345459,378 keV
2026-06-24 07:40:00+00:00,19,0.10017579793930054,1509 keV
2026-06-24 07:40:00+00:00,19,132.15762329101562,186 keV
2026-06-24 07:40:00+00:00,19,616.21142578125,134 keV
2026-06-24 07:40:00+00:00,19,16.343116760253906,271 keV
2026-06-24 07:45:00+00:00,19,0.7886798977851868,548 keV
2026-06-24 07:45:00+00:00,19,0.07701455056667328,865 keV
2026-06-24 07:45:00+00:00,19,3521.6259765625,79 keV
2026-06-24 07:45:00+00:00,19,4.030162811279297,378 keV
2026-06-24 07:45:00+00:00,19,816.1317138671875,134 keV
2026-06-24 07:45:00+00:00,19,156.90707397460938,186 keV
2026-06-24 07:45:00+00:00,19,0.16278789937496185,1509 keV
2026-06-24 07:45:00+00:00,19,25.322805404663086,271 keV
2026-06-24 07:50:00+00:00,19,893.4434204101562,134 keV
2026-06-24 07:50:00+00:00,19,0.08765614032745361,1509 keV
2026-06-24 07:50:00+00:00,19,171.00961303710938,186 keV
2026-06-24 07:50:00+00:00,19,25.96177864074707,271 keV
2026-06-24 07:50:00+00:00,19,4.758123874664307,378 keV
2026-06-24 07:50:00+00:00,19,0.8405756950378418,548 keV
2026-06-24 07:50:00+00:00,19,3908.02783203125,79 keV
2026-06-24 07:50:00+00:00,19,0.1411939114332199,865 keV
2026-06-24 07:55:00+00:00,19,0.944361686706543,548 keV
2026-06-24 07:55:00+00:00,19,0.211793914437294,865 keV
2026-06-24 07:55:00+00:00,19,4.829193592071533,378 keV
2026-06-24 07:55:00+00:00,19,4497.69677734375,79 keV
2026-06-24 07:55:00+00:00,19,175.27029418945312,186 keV
2026-06-24 07:55:00+00:00,19,0.08765696734189987,1509 keV
2026-06-24 07:55:00+00:00,19,27.27707862854004,271 keV
2026-06-24 07:55:00+00:00,19,929.0723266601562,134 keV
2026-06-24 08:00:00+00:00,19,0.21179573237895966,865 keV
2026-06-24 08:00:00+00:00,19,4949.1220703125,79 keV
2026-06-24 08:00:00+00:00,19,1.1934326887130737,548 keV
2026-06-24 08:00:00+00:00,19,6.05429220199585,378 keV
2026-06-24 08:00:00+00:00,19,0.03265247493982315,2894 keV
2026-06-24 08:00:00+00:00,19,28.66740608215332,271 keV
2026-06-24 08:00:00+00:00,19,0.01595424860715866,2205 keV
2026-06-24 08:00:00+00:00,19,180.47653198242188,186 keV
2026-06-24 08:00:00+00:00,19,0.15027029812335968,1509 keV
2026-06-24 08:00:00+00:00,19,932.0139770507812,134 keV
2026-06-24 08:05:00+00:00,19,0.2888132631778717,865 keV
2026-06-24 08:05:00+00:00,19,0.8821071982383728,548 keV
2026-06-24 08:05:00+00:00,19,6.231865882873535,378 keV
2026-06-24 08:05:00+00:00,19,0.0008375393226742744,2894 keV
2026-06-24 08:05:00+00:00,19,5342.1064453125,79 keV
